Index,setup,batch_size,max_epochs,learning_rate,memory_size,model,accuracy,training_time
139,standard,256,20,0.01,12000,bi-rnn.py,0.5434,595099.973462
140,standard,256,20,0.005,6000,lenet5.py,0.914,308977.746352
141,standard,256,20,0.005,6000,bi-rnn.py,0.2759,613960.453263
142,standard,256,20,0.005,12000,lenet5.py,0.9268,311832.899408
143,standard,256,20,0.005,12000,bi-rnn.py,0.3556,602111.092234
144,standard,128,5,0.01,6000,lenet5.py,0.9227,158290.121515
145,standard,128,5,0.01,6000,bi-rnn.py,0.3852,242052.014254
146,standard,128,5,0.01,12000,lenet5.py,0.9311,157696.548733
147,standard,128,5,0.01,12000,bi-rnn.py,0.2822,244595.979536
148,standard,128,5,0.005,6000,lenet5.py,0.8817,159779.528899
149,standard,128,5,0.005,6000,bi-rnn.py,0.1801,242890.119951
150,standard,128,5,0.005,12000,lenet5.py,0.89,157301.942325
151,standard,128,5,0.005,12000,bi-rnn.py,0.1756,241921.805085
152,standard,128,10,0.01,6000,lenet5.py,0.9491,285952.390299
153,standard,128,10,0.01,6000,bi-rnn.py,0.4913,463701.14607
154,standard,128,10,0.01,12000,lenet5.py,0.9449,289370.513548
155,standard,128,10,0.01,12000,bi-rnn.py,0.471,466914.567237
156,standard,128,10,0.005,6000,lenet5.py,0.9183,287232.690516
157,standard,128,10,0.005,6000,bi-rnn.py,0.327,467279.323794
158,standard,128,10,0.005,12000,lenet5.py,0.9164,289348.651908
159,standard,128,10,0.005,12000,bi-rnn.py,0.2791,461624.820324
160,standard,128,20,0.01,6000,lenet5.py,0.9626,517542.353739
161,standard,128,20,0.01,6000,bi-rnn.py,0.7839,884734.436894
162,standard,128,20,0.01,12000,lenet5.py,0.9612,515718.660844
163,standard,128,20,0.01,12000,bi-rnn.py,0.7561,878725.151683
164,standard,128,20,0.005,6000,lenet5.py,0.9395,517139.584224
165,standard,128,20,0.005,6000,bi-rnn.py,0.4319,884223.120481
166,standard,128,20,0.005,12000,lenet5.py,0.9412,515988.801151
167,standard,128,20,0.005,12000,bi-rnn.py,0.4312,903400.732309
168,standard,256,5,0.01,6000,lenet5.py,0.8956,96335.233591
